,Symbol,7 Day Average Funding Rate (Annualized %),Current Funding Rate (Annualized %)
0,BTC/USDT:USDT,4.823474999999999,10.950000000000001
1,ETH/USDT:USDT,2.4692249999999993,3.3945000000000003
2,XRP/USDT:USDT,7.741650000000002,10.950000000000001
3,BCH/USDT:USDT,2.4911250000000003,9.855
4,LTC/USDT:USDT,7.818300000000001,0.219
5,ADA/USDT:USDT,10.265625000000002,5.4750000000000005
6,ETC/USDT:USDT,10.950000000000001,10.950000000000001
7,LINK/USDT:USDT,10.950000000000001,10.950000000000001
8,TRX/USDT:USDT,-13.2057,-1.9709999999999999
9,DOT/USDT:USDT,8.98995,2.9564999999999997
10,DOGE/USDT:USDT,9.559350000000002,10.950000000000001
11,SOL/USDT:USDT,6.433125,8.760000000000002
12,BNB/USDT:USDT,0.3175500000000001,1.2045
13,UNI/USDT:USDT,10.944524999999999,10.950000000000001
14,ICP/USDT:USDT,10.950000000000001,10.950000000000001
15,AAVE/USDT:USDT,6.498825000000001,10.950000000000001
16,FIL/USDT:USDT,10.950000000000001,10.950000000000001
17,XLM/USDT:USDT,10.950000000000001,10.950000000000001
18,ATOM/USDT:USDT,-2.2009499999999993,10.950000000000001
19,XTZ/USDT:USDT,10.533900000000001,10.950000000000001
20,SUSHI/USDT:USDT,10.950000000000001,10.950000000000001
21,AXS/USDT:USDT,10.950000000000001,10.950000000000001
22,THETA/USDT:USDT,10.950000000000001,10.950000000000001
23,AVAX/USDT:USDT,5.3107500000000005,10.950000000000001
24,SHIB/USDT:USDT,10.1178,10.950000000000001
25,MANA/USDT:USDT,10.950000000000001,10.950000000000001
26,GALA/USDT:USDT,10.950000000000001,10.950000000000001
27,SAND/USDT:USDT,10.950000000000001,10.950000000000001
28,DYDX/USDT:USDT,10.85145,10.950000000000001
29,CRV/USDT:USDT,2.3980500000000005,10.950000000000001
30,NEAR/USDT:USDT,10.637925000000001,10.950000000000001
31,EGLD/USDT:USDT,10.950000000000001,10.950000000000001
32,KSM/USDT:USDT,10.950000000000001,10.950000000000001
33,AR/USDT:USDT,10.950000000000001,10.950000000000001
34,PEOPLE/USDT:USDT,10.950000000000001,10.950000000000001
35,LRC/USDT:USDT,-11.245650000000003,10.950000000000001
36,NEO/USDT:USDT,10.950000000000001,10.950000000000001
37,ALICE/USDT:USDT,10.950000000000001,10.950000000000001
38,WAVES/USDT:USDT,10.950000000000001,10.950000000000001
39,ALGO/USDT:USDT,10.950000000000001,10.950000000000001
40,IOTA/USDT:USDT,10.950000000000001,10.950000000000001
41,ENJ/USDT:USDT,10.709100000000003,10.950000000000001
42,GMT/USDT:USDT,9.816675,10.950000000000001
43,ZIL/USDT:USDT,10.845975000000003,10.950000000000001
44,IOST/USDT:USDT,7.582875,10.950000000000001
45,APE/USDT:USDT,18.341250000000002,51.903
46,RUNE/USDT:USDT,10.950000000000001,10.950000000000001
47,KNC/USDT:USDT,10.950000000000001,10.950000000000001
48,APT/USDT:USDT,10.950000000000001,10.950000000000001
49,CHZ/USDT:USDT,5.075325,10.950000000000001
50,ROSE/USDT:USDT,10.950000000000001,10.950000000000001
51,ZRX/USDT:USDT,5.579025,10.950000000000001
52,KAVA/USDT:USDT,11.678174999999998,10.950000000000001
53,ENS/USDT:USDT,10.950000000000001,10.950000000000001
54,MTL/USDT:USDT,10.950000000000001,10.950000000000001
55,AUDIO/USDT:USDT,13.868175000000003,81.468
56,SXP/USDT:USDT,10.950000000000001,10.950000000000001
57,C98/USDT:USDT,10.950000000000001,10.950000000000001
58,OP/USDT:USDT,10.950000000000001,10.950000000000001
59,RSR/USDT:USDT,10.950000000000001,10.950000000000001
60,SNX/USDT:USDT,10.632449999999999,10.950000000000001
61,STORJ/USDT:USDT,10.950000000000001,10.950000000000001
62,1INCH/USDT:USDT,10.950000000000001,10.950000000000001
63,COMP/USDT:USDT,10.950000000000001,10.950000000000001
64,IMX/USDT:USDT,10.950000000000001,10.950000000000001
65,LUNA/USDT:USDT,10.950000000000001,10.950000000000001
66,FLOW/USDT:USDT,10.950000000000001,10.950000000000001
67,TRB/USDT:USDT,10.950000000000001,10.950000000000001
68,QTUM/USDT:USDT,-5.808974999999999,10.950000000000001
69,API3/USDT:USDT,-130.2612,-516.84
70,MASK/USDT:USDT,10.950000000000001,10.950000000000001
71,WOO/USDT:USDT,10.950000000000001,10.950000000000001
72,GRT/USDT:USDT,10.528425,10.950000000000001
73,BAND/USDT:USDT,10.950000000000001,10.950000000000001
74,STG/USDT:USDT,9.31845,10.950000000000001
75,LUNC/USDT:USDT,10.950000000000001,10.950000000000001
76,ONE/USDT:USDT,10.950000000000001,10.950000000000001
77,JASMY/USDT:USDT,10.950000000000001,10.950000000000001
78,BAT/USDT:USDT,10.950000000000001,10.950000000000001
79,MAGIC/USDT:USDT,-5.168399999999998,10.950000000000001
80,ALPHA/USDT:USDT,17.892300000000002,10.950000000000001
81,LDO/USDT:USDT,10.950000000000001,10.950000000000001
82,CELO/USDT:USDT,10.950000000000001,10.950000000000001
83,BLUR/USDT:USDT,10.950000000000001,10.950000000000001
84,MINA/USDT:USDT,10.950000000000001,10.950000000000001
85,CORE/USDT:USDT,1.0019250000000004,10.950000000000001
86,CFX/USDT:USDT,10.824075,10.950000000000001
87,ASTR/USDT:USDT,10.950000000000001,10.950000000000001
88,GMX/USDT:USDT,10.950000000000001,10.950000000000001
89,ANKR/USDT:USDT,10.950000000000001,10.950000000000001
90,ACH/USDT:USDT,10.950000000000001,10.950000000000001
91,FET/USDT:USDT,11.798625000000003,10.950000000000001
