,Symbol,7 Day Average Funding Rate (Annualized %),Current Funding Rate (Annualized %)
0,BTC/USDC:USDC,10.611012015540727,10.94984183561793
1,ETH/USDC:USDC,4.6709746660802205,7.784899551450923
2,ATOM/USDC:USDC,3.778550563793444,10.94984183561793
3,DYDX/USDC:USDC,9.935452137913563,10.94984183561793
4,SOL/USDC:USDC,10.887426694312829,10.94984183561793
5,AVAX/USDC:USDC,13.173382417809517,10.94984183561793
6,BNB/USDC:USDC,8.513416514142413,-1.562148235636596
7,APE/USDC:USDC,10.839240611762591,10.94984183561793
8,OP/USDC:USDC,10.949841835617931,10.94984183561793
9,LTC/USDC:USDC,10.705894480730514,10.94984183561793
10,ARB/USDC:USDC,11.365586994695793,21.056721047362647
11,DOGE/USDC:USDC,10.905217058769468,10.94984183561793
12,INJ/USDC:USDC,10.716473592206844,10.94984183561793
13,SUI/USDC:USDC,10.535629132976014,10.94984183561793
14,KPEPE/USDC:USDC,10.4521991595042,10.94984183561793
15,CRV/USDC:USDC,10.613016879438726,10.94984183561793
16,LDO/USDC:USDC,10.949841835617931,10.94984183561793
17,LINK/USDC:USDC,10.940320687431338,10.94984183561793
18,STX/USDC:USDC,10.591015518664731,10.94984183561793
19,CFX/USDC:USDC,7.9710468626564275,10.94984183561793
20,GMX/USDC:USDC,7.339438607315355,10.94984183561793
21,SNX/USDC:USDC,10.949841835617931,10.94984183561793
22,XRP/USDC:USDC,10.773847634899242,10.94984183561793
23,BCH/USDC:USDC,16.577406155720606,15.814287171407523
24,APT/USDC:USDC,10.863839170735787,10.94984183561793
25,AAVE/USDC:USDC,8.70583547761453,10.94984183561793
26,COMP/USDC:USDC,10.949841835617931,10.94984183561793
27,WLD/USDC:USDC,14.153254564100742,10.94984183561793
28,FXS/USDC:USDC,10.99447495520303,10.94984183561793
29,YGG/USDC:USDC,10.747435573549655,10.94984183561793
30,TRX/USDC:USDC,-23.358309495053327,-44.49411290725801
31,KSHIB/USDC:USDC,6.785506965693035,10.94984183561793
32,UNI/USDC:USDC,11.21936280682295,10.94984183561793
33,SEI/USDC:USDC,5.91339586285341,10.94984183561793
34,RUNE/USDC:USDC,9.326771808534193,10.94984183561793
35,ZRO/USDC:USDC,11.084928470080827,10.94984183561793
36,DOT/USDC:USDC,6.779281719898966,8.620591480345283
37,BANANA/USDC:USDC,10.938167218537002,10.94984183561793
38,TRB/USDC:USDC,10.949841835617931,10.94984183561793
39,FTT/USDC:USDC,19.376783798837195,10.94984183561793
40,ARK/USDC:USDC,9.112378076761114,10.94984183561793
41,BIGTIME/USDC:USDC,16.364235156285837,48.720313862133104
42,KAS/USDC:USDC,10.949841835617931,10.94984183561793
43,BLUR/USDC:USDC,10.949841835617931,10.94984183561793
44,TIA/USDC:USDC,11.140302341664588,10.94984183561793
45,BSV/USDC:USDC,3.419958364887111,10.94984183561793
46,ADA/USDC:USDC,10.949841835617931,10.94984183561793
47,TON/USDC:USDC,11.101715620456911,10.94984183561793
48,MINA/USDC:USDC,10.949841835617931,10.94984183561793
49,POLYX/USDC:USDC,10.916984488795478,10.94984183561793
50,GAS/USDC:USDC,9.010530990742833,10.94984183561793
51,PENDLE/USDC:USDC,18.360229682396646,10.94984183561793
52,FET/USDC:USDC,10.949841835617931,10.94984183561793
53,NEAR/USDC:USDC,10.949841835617931,10.94984183561793
54,MEME/USDC:USDC,2.9951550795059947,10.94984183561793
55,ORDI/USDC:USDC,10.949841835617931,10.94984183561793
56,NEO/USDC:USDC,10.938008185119866,10.94984183561793
57,ZEN/USDC:USDC,10.949841835617931,10.94984183561793
58,FIL/USDC:USDC,10.220976563671858,10.94984183561793
59,PYTH/USDC:USDC,8.630806118514796,10.94984183561793
60,SUSHI/USDC:USDC,10.910140837648216,10.94984183561793
61,IMX/USDC:USDC,6.064073507827109,10.94984183561793
62,KBONK/USDC:USDC,8.147634961939438,10.94984183561793
63,GMT/USDC:USDC,8.3957604636187,10.94984183561793
64,SUPER/USDC:USDC,-5.346449552077899,10.94984183561793
65,USTC/USDC:USDC,12.630589893860265,33.12038079449963
66,JUP/USDC:USDC,10.678581403824168,10.94984183561793
67,KLUNC/USDC:USDC,10.897501591643675,10.94984183561793
68,RSR/USDC:USDC,9.57013569327808,10.94984183561793
69,GALA/USDC:USDC,10.653923924273474,10.94984183561793
70,JTO/USDC:USDC,10.949841835617931,10.94984183561793
71,ACE/USDC:USDC,10.949841835617931,10.94984183561793
72,MAV/USDC:USDC,-22.819320737589344,10.94984183561793
73,WIF/USDC:USDC,10.028356853099423,10.94984183561793
74,CAKE/USDC:USDC,10.341893581378427,10.94984183561793
75,PEOPLE/USDC:USDC,10.905699373231274,10.94984183561793
76,ENS/USDC:USDC,13.095973814505216,14.631791851895471
77,ETC/USDC:USDC,10.949841835617931,10.94984183561793
78,XAI/USDC:USDC,3.5648873428971104,-1.1419371053529228
79,MANTA/USDC:USDC,10.949841835617931,10.94984183561793
80,UMA/USDC:USDC,-5.863728944550165,-21.624886440529192
81,ONDO/USDC:USDC,10.949841835617931,10.94984183561793
82,ALT/USDC:USDC,8.450224976909062,9.81754059108035
83,ZETA/USDC:USDC,6.44808081105495,10.94984183561793
84,DYM/USDC:USDC,9.183719946267441,10.94984183561793
85,MAVIA/USDC:USDC,25.165183567189743,82.87234495501731
86,W/USDC:USDC,8.220263177150933,10.94984183561793
87,STRK/USDC:USDC,0.30487279628183167,10.94984183561793
88,TAO/USDC:USDC,11.022770389348343,10.94984183561793
89,AR/USDC:USDC,10.949841835617931,10.94984183561793
