Symbol,7 Day Average Funding Rate (Annualized %),Current Funding Rate (Annualized %)
BTC/USDC:USDC,9.7455,4.691377424832198
BTC/USD:USD,14.594785714285715,4.751104713760182
BTC/USDT:USDT,13.859571428571426,20.69102144855888
ETH/USDC:USDC,12.556000000000001,8.347570827066479
ETH/USD:USD,14.271499999999998,17.002383753295668
DOGE/USDC:USDC,5.839999999999999,11.556931755049854
XRP/USD:USD,31.598571428571425,33.203158150637705
SOL/USDC:USDC,4.359142857142857,-4.058610572034934
SUI/USD:USD,24.574928571428575,33.29690763449492
XRP/USDC:USDC,14.84507142857143,13.718227356958712
SOL/USD:USD,29.100928571428575,26.6283907791916
BNB/USDC:USDC,0.9020714285714286,-1.6622819780548816
DOGE/USD:USD,31.098,34.2687826788805
SUI/USDC:USDC,4.046285714285714,-0.03287350581054034
ADA/USD:USD,30.268928571428578,34.020041718765185
ENA/USDC:USDC,2.6436428571428574,8.621267188947154
LINK/USD:USD,32.203428571428574,33.0467066677353
LINK/USDC:USDC,10.126142857142858,8.927124886693447
UNI/USD:USD,10.699714285714286,11.66277685748016
ADA/USDC:USDC,8.348071428571428,9.450179717957084
ETH/USDT:USDT,14.886785714285713,18.241178884663217
OPEN/USDT:USDT,-675.9799999999999,-99.01724544207791
TAKE/USDT:USDT,68.18629411764707,6.855812546846178
ARIA/USDT:USDT,-96.75935294117647,8.940772937340839
SOMI/USDT:USDT,-147.59531707317072,10.318963436986293
PTB/USDT:USDT,-465.18918181818185,102.62231760370877
Q/USDT:USDT,30.109829268292682,124.40549095059284
LINEA/USDT:USDT,25.059857142857144,54.09318727763455
HEMI/USDT:USDT,15.86707142857143,11.66244347055037
MITO/USDT:USDT,-77.26007142857142,7.870929686809658
BTR/USDT:USDT,21.04485714285714,6.87500206928395
BAS/USDT:USDT,103.30021428571428,276.503806703889
WLFI/USDT:USDT,21.55064285714286,54.76078848567354
XPL/USDT:USDT,22.984571428571428,15.071212136679355
YZY/USDT:USDT,-33.04814285714286,14.705096662039137
CUDIS/USDT:USDT,1.4808571428571426,109.87976710975673
SAPIEN/USDT:USDT,49.739071428571435,53.603823855041696
DAM/USDT:USDT,28.136285714285712,50.68310930259723
XNY/USDT:USDT,27.531428571428574,82.75261539248085
AIO/USDT:USDT,46.88685714285715,-74.86044644237975
SKY/USDT:USDT,-22.484,9.790943140480993
K/USDT:USDT,11.257642857142857,9.683345903367682
CARV/USDT:USDT,32.46935714285714,15.960229957680774
YALA/USDT:USDT,14.526999999999997,54.96317039584273
IN/USDT:USDT,-64.44335714285714,21.773642961534946
PROVE/USDT:USDT,-1.6268571428571428,23.75792558048619
TOWNS/USDT:USDT,8.754785714285713,11.419179080827247
NAORIS/USDT:USDT,15.642857142857144,7.729666244150037
