,Symbol,7 Day Average Funding Rate (Annualized %),Current Funding Rate (Annualized %)
0,KNC/USDT:USDT,10.950000000000001,10.950000000000001
1,ORBS/USDT:USDT,5.808714285714286,-45.114
2,PNUT/USDT:USDT,9.495214285714287,10.950000000000001
3,SC/USDT:USDT,10.178285714285714,10.950000000000001
4,NMR/USDT:USDT,-123.95399999999998,-205.422
5,GRASS/USDT:USDT,3.962857142857143,10.950000000000001
6,ICX/USDT:USDT,6.888071428571431,-62.853
7,DUSK/USDT:USDT,15.632428571428575,52.998
8,BEL/USDT:USDT,10.950000000000001,10.950000000000001
9,RWA/USDT:USDT,10.950000000000001,10.950000000000001
10,ZRC/USDT:USDT,10.23168,10.512
11,ARIA/USDT:USDT,-451.61449999999996,10.950000000000001
12,HIPPO/USDT:USDT,16.080857142857145,102.93
13,INJ/USDT:USDT,10.24607142857143,10.950000000000001
14,NEWT/USDT:USDT,-434.67996,10.512
15,SUNDOG/USDT:USDT,10.950000000000001,10.950000000000001
16,CAKE/USDT:USDT,9.907142857142857,10.950000000000001
17,AIXBT/USDT:USDT,7.008000000000002,10.950000000000001
18,EPT/USDT:USDT,10.950000000000001,10.950000000000001
19,ETH/USDT:USDT,7.425142857142859,8.2125
20,BEAMX/USDT:USDT,3.5248571428571434,10.950000000000001
21,FORM/USDT:USDT,10.094857142857144,10.950000000000001
22,XDC/USDT:USDT,7.419928571428572,-47.742000000000004
23,RON/USDT:USDT,10.517214285714285,10.950000000000001
24,BOT/USDT:USDT,-673.863,-439.752
25,MANA/USDT:USDT,6.215428571428571,10.950000000000001
26,FRAG/USDT:USDT,22.59204,10.512
27,REX/USDT:USDT,26.186142857142862,16.863
28,D/USDT:USDT,8.233357142857143,10.950000000000001
29,MOVR/USDT:USDT,-23.062785714285717,-54.75
30,SIGN/USDT:USDT,9.32064,10.512
31,BROCCOLIF3B/USDT:USDT,164.28503999999998,808.5479999999999
32,TAIKO/USDT:USDT,5.339428571428572,10.950000000000001
33,ESPORTS/USDT:USDT,-42.24614285714286,10.950000000000001
34,TSLAX/USDT:USDT,-6.695142857142857,211.335
35,HYPER/USDT:USDT,-3.1360799999999993,-0.876
36,SYRUP/USDT:USDT,9.93384,10.512
37,ACE/USDT:USDT,9.24492857142857,10.950000000000001
38,PAXG/USDT:USDT,1.5173571428571433,10.950000000000001
39,ANIME/USDT:USDT,9.60992857142857,-6.132
40,TAG/USDT:USDT,14.386214285714289,106.43400000000001
41,RAY/USDT:USDT,10.950000000000001,10.950000000000001
42,ALPHA/USDT:USDT,10.950000000000001,10.950000000000001
43,APE/USDT:USDT,8.009142857142857,10.950000000000001
44,BNB/USDT:USDT,5.8035000000000005,9.636
45,DAM/USDT:USDT,10.950000000000001,10.950000000000001
46,SPYX/USDT:USDT,10.950000000000001,10.950000000000001
47,QQQX/USDT:USDT,10.950000000000001,10.950000000000001
48,XCN/USDT:USDT,19.355428571428572,10.950000000000001
49,TON/USDT:USDT,6.877642857142859,10.950000000000001
50,LA/USDT:USDT,10.512,10.512
51,FWOG/USDT:USDT,10.950000000000001,10.950000000000001
52,DOT/USDT:USDT,7.936142857142858,5.256
53,MSTRX/USDT:USDT,15.59592857142857,10.950000000000001
54,NFP/USDT:USDT,10.950000000000001,10.950000000000001
55,FLOKI/USDT:USDT,7.362571428571428,10.950000000000001
56,ADA/USDT:USDT,6.4239999999999995,10.950000000000001
57,THE/USDT:USDT,-7.983071428571428,10.950000000000001
58,MAJOR/USDT:USDT,8.687000000000001,10.950000000000001
59,ANKR/USDT:USDT,8.415857142857144,10.950000000000001
60,TRX/USDT:USDT,-6.476142857142858,-20.6955
61,ROAM/USDT:USDT,10.950000000000001,10.950000000000001
62,MTL/USDT:USDT,7.743214285714285,-22.995
63,PLUME/USDT:USDT,10.877,10.950000000000001
64,SOMI/USDT:USDT,-156.6162857142857,-219.876
65,PLAY/USDT:USDT,446.2855,169.06799999999998
66,SAND/USDT:USDT,6.7525,10.950000000000001
67,MEME/USDT:USDT,6.695142857142857,10.950000000000001
68,BLUR/USDT:USDT,5.740928571428571,10.950000000000001
69,LUNC/USDT:USDT,9.839357142857144,10.950000000000001
70,TSTBSC/USDT:USDT,10.950000000000001,10.950000000000001
71,BAT/USDT:USDT,8.01957142857143,-19.053
72,PHA/USDT:USDT,22.046000000000003,10.950000000000001
73,ERA/USDT:USDT,6.018120000000001,10.512
74,DOOD/USDT:USDT,11.794714285714285,90.666
75,MDT/USDT:USDT,-0.7247857142857139,8.322000000000001
76,TIA/USDT:USDT,9.443071428571429,10.950000000000001
77,BNT/USDT:USDT,10.950000000000001,10.950000000000001
78,K/USDT:USDT,10.950000000000001,10.950000000000001
79,SUPRA/USDT:USDT,-35.12342857142857,-347.55300000000005
80,WLD/USDT:USDT,6.241500000000001,10.950000000000001
81,KAITO/USDT:USDT,2.6488571428571426,10.950000000000001
82,CAT/USDT:USDT,10.950000000000001,10.950000000000001
83,AIN/USDT:USDT,22.254571428571428,10.950000000000001
84,PYR/USDT:USDT,10.950000000000001,10.950000000000001
85,AIOT/USDT:USDT,-230.20028571428566,10.950000000000001
86,MKR/USDT:USDT,-0.06257142857142822,10.950000000000001
87,PERP/USDT:USDT,10.950000000000001,10.950000000000001
88,CPOOL/USDT:USDT,11.252428571428572,10.950000000000001
89,ZEREBRO/USDT:USDT,23.537285714285712,10.950000000000001
90,ETHFI/USDT:USDT,-1.1679999999999997,10.950000000000001
91,COMP/USDT:USDT,10.193928571428573,10.950000000000001
92,LOOM/USDT:USDT,46.5375,10.950000000000001
